genome	k	S_alg	algorithm	camel_DS	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	camel_mem_bytes	camel_real_s	camel_usr_s	camel_sys_s	pref0	pref
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	4	default	2080	2286	2080	206	142	668	248	916	796	8432000	0.24	0.17	0.01	spneumoniae.S_pseudosimplitigs.k_6.d_4	spneumoniae.S_pseudosimplitigs.k_6.d_4.M_default
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	4	ones	2080	2286	2281	5	1	668	88	756	672	8432000	0.24	0.17	0.01	spneumoniae.S_pseudosimplitigs.k_6.d_4	spneumoniae.S_pseudosimplitigs.k_6.d_4.M_ones
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	4	runs	2080	2286	2281	5	1	668	88	756	672	8432000	0.24	0.17	0.01	spneumoniae.S_pseudosimplitigs.k_6.d_4	spneumoniae.S_pseudosimplitigs.k_6.d_4.M_runs
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	4	zeros	2080	2286	2080	206	146	668	252	920	804	8432000	0.24	0.17	0.01	spneumoniae.S_pseudosimplitigs.k_6.d_4	spneumoniae.S_pseudosimplitigs.k_6.d_4.M_zeros
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	5	default	2080	2283	2080	203	142	664	248	912	796	8436000	0.17	0.13	0	spneumoniae.S_pseudosimplitigs.k_6.d_5	spneumoniae.S_pseudosimplitigs.k_6.d_5.M_default
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	5	ones	2080	2283	2278	5	1	664	88	752	668	8436000	0.17	0.13	0	spneumoniae.S_pseudosimplitigs.k_6.d_5	spneumoniae.S_pseudosimplitigs.k_6.d_5.M_ones
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	5	runs	2080	2283	2278	5	1	664	88	752	668	8436000	0.17	0.13	0	spneumoniae.S_pseudosimplitigs.k_6.d_5	spneumoniae.S_pseudosimplitigs.k_6.d_5.M_runs
spneumoniae	6	pseudosimplitigs	loc-greedy	HT	5	zeros	2080	2283	2080	203	149	664	256	920	808	8436000	0.17	0.13	0	spneumoniae.S_pseudosimplitigs.k_6.d_5	spneumoniae.S_pseudosimplitigs.k_6.d_5.M_zeros
spneumoniae	6	pseudosimplitigsAC	loc-greedy	AC	1	default	2080	2240	2080	160	32	872	120	992	928	8420000	0.16	0.11	0	spneumoniae.S_pseudosimplitigsAC.k_6.d_1	spneumoniae.S_pseudosimplitigsAC.k_6.d_1.M_default
spneumoniae	6	pseudosimplitigsAC	loc-greedy	AC	1	ones	2080	2240	2235	5	1	872	88	960	876	8420000	0.16	0.11	0	spneumoniae.S_pseudosimplitigsAC.k_6.d_1	spneumoniae.S_pseudosimplitigsAC.k_6.d_1.M_ones
